title,price,description,date_posted,address,url
"Large and Quiet Room for Rent in Markham, Ontario",$850,"DescriptionLarge Room for Rent in a 4 -bedroom house 2nd Fl. Located in Markham road and Denison street. Minutes to Highways, Transit and local buses, nearby Shopping stores, Parks, Centennial College (Progress Campus), UofT (Scarborough), Restaurants, Golf Club, very close to Costco, Home Depot, Canadian Tire, Walmart, Low’s, NoFrills, All major Banks, and many more amenities.
- Shared kitchen with breakfast area, Shared Bathroom, second floor laundry (shared)
- All utilities included in the price
- Free Cable TV and Internet
- Non-Smoking, No pets
- Ideal for working professionals/students
- Rent For $850 per month for one person only
- Availability: April 15, 2023
- No parking available with the room
Required:
Rental Application
Job letters, two recent pay stubs (for working professionals)
Credit bureau reports and Credit Score
Two Government’s photo ID
Tenant insurance (Optional)
For more information, please call 416-953-1374 or reply to ads. Serious inquiries only. Thank you.",2023-04-06 17:21:20,"Markham, ON L3S",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/large-and-quiet-room-for-rent-in-markham-ontario/1655661181
"Specious and Bright Room for Rent in Markham, Ontario","$1,000","DescriptionSpecious and Bright Room for Rent in a 4-bedroom house 2nd Fl. Located in Markham road and Denison street. Minutes to Highways, Transit and local buses, nearby Shopping stores, Parks, Centennial College (Progress Campus), UofT (Scarborough), Restaurants, Golf Club, very close to Costco, Home Depot, Canadian Tire, Walmart, Low’s, NoFrills, All major Banks, and many more amenities.
- Shared kitchen with breakfast area, Shared Bathroom, second floor laundry (shared)
- All utilities included in the price
- Free Cable TV and Internet
- Non-Smoking, No pets
- Ideal for working professionals/students
- Rent For $1000 per month. Can be shared for max two persons if they are relatives or close friends
- Availability: April 15, 2023
- No parking is available with the room
Required:
Rental Application
Job letters, two recent pay stubs (for working professionals)
Credit bureau reports and Credit Score
Two Government’s photo ID
Tenant insurance (Optional)
For more information, please call 416-953-1374 or reply to ads. Serious inquiries only. Thank you.",2023-04-06 16:52:50,"Markham, ON L3S",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/specious-and-bright-room-for-rent-in-markham-ontario/1655658446
Furnished room private bathroom markham/thornhill,$800,"DescriptionPlease read before sending a message.Room is on the ground floor and comes fully furnished (bed/mattress, desk, chair, mini fridge). all brand new (picture is different from actual furniture)
Room has its own private bathroom.
No parking is available
Rent includes utilities + wifi
Available from May 1 for 4, 8, or 12 months leaseLooking for a student or coop or someone with a full time between 21-36 years old. Male",2023-04-06 15:41:09,"Thornhill, ON L3T 5X1",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/furnished-room-private-bathroom-markham-thornhill/1655651233
2nd floor furnished room available at Markham and Steeles Ave Lo,$800,"Description********* Available immediate from April 2023 *************
One Room Rental moderate size available in second floor of detached house which consist of 1 room with shared washroom, Double Bed and mattress, Reading table,fridge and walk-in Closet. Very good location with groceries,banks,Malls,close to Go Station,parks,24 Hour TTC Service and close to Highways.Main intersection Steeles Ave East and Markham Rd in Markham.Short walk to Amazon warehouse.
Access to Stone patio backyard. Hard wood floors and Spacious.
Nice &amp; cosy. No Pets and Non-Smoking.Long or short term available from April .Minimum stay of 8 months and more.
Good for single person, Student or working person preferably Indian. Not for couples .
Room Rental per month -- $800 (All inclusive). Available immediate.
One Parking on drive way which is extra $ 50 per month.
Utilities includes Common Kitchen,hydro and Laundry (once a week on weekends).
Serious and interested person please text or whats app @ 4169531894.",2023-04-06 15:32:26,"Markham, ON L3S 4N7",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2nd-floor-furnished-room-available-at-markham-and-steeles-ave-lo/1655650304
Townhouse for rent 2 bed room 2.5 bath FREE tv +HighSpd Internet,"$2,790","Description2 bed room 2.5 bath town house for rent
1 year lease term
Location: Scarborough
Major intersection: Markham Rd/Sheppard Ave
INCLUDES:
Bell Tv and High speed internet
1 underground parking
6 appliances (microwave oven, dishwasher, stove, fridge, washer, dryer)
UTILITIES: Not Included
Tenant pays for all 3 (gas, hydro, water)
Tenant get own insurance
Central location:
Close to TTC transit bus stops
Groceries, Maĺl (Scarborough Towncenter Mall), resturants, parks, Highway (401)
Good for small family: 2 adults + 1 kid
Availability: immediate
Application - Required
Credit Check - Required
Employment verification - Required
Room sizes:
MBR - 10' x11'
2nd BRm - 9' x 10' with walk-in closet
Basment - Utility Rm - 7'x7'
Fam Rm - 12' x 18'
Revovated Kit and Wash room
Hardwood floors through out
Front yard for bbq grill (bring your own)",2023-04-06 14:59:14,"29 Rosebank Dr, Scarborough, ON M1B 5Y7",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/townhouse-for-rent-2-bed-room-2-5-bath-free-tv-highspd-internet/1655277501
Full 2-Br Basement for Rent in Scarborough,"$2,000","DescriptionPrivate Basement for rent for $2000 in Markham &amp; Lawrence. Full basement with separate entrance and 1 available parking space. Furnished with appliances (Fridge, Washer, Dryer). Includes limited utilities (Electricity/Heat/Water/Air Conditioning) and Unlimited high speed Wireless Internet.Close to all amenities including: Cedarbrae Mall, Grocery stores, Cedarbrae Library and walking distance to bus stop (TTC). 1 parking space also available.",2023-04-06 13:19:35,"Scarborough, ON M1H 2B2",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/full-2-br-basement-for-rent-in-scarborough/1655637369
Temporary short term accommodation for college girls available,Please Contact,DescriptionSharing rooms available immediately in Scarborough.,2023-04-06 13:05:14,"Eglinton Avenue East, Scarborough, ON",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/temporary-short-term-accommodation-for-college-girls-available/1649541741
Sharing Master bed room available,Please Contact,"DescriptionSharing master bed room Available for female students or working professionals in high rise apartment I. Scarborough major intersection
Markham road and eglinton avenue east.
All utilities included . Wifi Free
Close to all utilities.
Available immediately.",2023-04-06 13:00:45,"Eglinton Avenue East, Scarborough, ON",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/sharing-master-bed-room-available/1649541318
Room for rent ,$500,"DescriptionMain intersection;- Markham &amp; Ellesmere
In the basement one room is available from June 1st
Sharing washrooms ( 2 full washrooms &amp; one half washroom) &amp; kitchen
Everything is included ( wifi, utilities)
Washer &amp; dryer in the same floor
Walking distance to centennial college
2 mins walk to bus stop
5 mins drive to utsc
Buses on this route 995, 38,95,133 ext.
Looking for students or professional boys only",2023-04-06 11:47:03,"M1G 3N1, Canada",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent/1655630950
Room Rental for Student,$400,"DescriptionMajor intersection Markham and Ellesemere.
Good for working person, students, and new immigrants.
Bright spacious living room, bed room, two full washrooms.
Clean kitchen with new kitchen appliances, lots of cupboard space.
Hi-speed internet/water/electricity/heating/bad/matress all included.
Close to U of T, centennial college, grocery stores (no frills, wal mart, fresh co, mirch masala, krishna grocery, and patel brothers),food store(honest,mirchidhaba,goverdhan thal,atithi) libraries, parks, shopping centers, banks, highway 401.
Steps to bus stand 24 hrs bus service
LOOKING FOR INDIAN PURE VEGETARIAN, NON SMOKER, NON ALCOHOLIC, NO PETS.",2023-04-06 11:33:12,"Scarborough, ON M1G 2P3",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-rental-for-student/1655630287
