,title,description,price,date_posted,address,url
0,Renovated 1 Bedroom @ Yonge and Davisville,"DescriptionViewings:Please call or text our Leasing Manager at647-507-4461Location155 Balliol Street, Toronto, ON M4S 1C4Yonge St. &amp; Davisville Ave.Property Features:Indoor swimming poolFitness roomParty roomSaunaOutdoor patio with BBQsFantastic mid-town locationMinutes from trendy restaurants &amp; shoppingShort walk to subwaySecurity camerasLaundry facilities on-site (open 24 hours)Underground parking available for $150/monthPet friendly1 Bedroom Suite Features:Renovated kitchen with quartz countertopStainless steel appliancesDishwasherBright and spaciousDark parquet flooringLarge balcony with city and lake viewsClean, well-maintained buildingUtilities:Heat and water included, hydro is extra.","$2,395",2023-02-20 12:43:47,"155 Balliol Street, Toronto, ON, M4S 1C2",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-1-bedroom-yonge-and-davisville/1646179670
1,"2 Bdrm - 10 Blackfriar Ave., 186 Kingsview Blvd., 15 & 55 Brides","DescriptionVisit our Website: https://www.capreit.ca/apartments-for-rent/etobicoke-on/west-park-village-apartments/West Park Village Apartments, offering apartments for rent in Etobicoke, will offer you a tranquil park-like setting by surrounding you with over 12 acres of parkland. Resident staff are at your service 7 days a week.Beautifully landscaped groundsElevatorPets welcomeOn-site professional staffIndoor, outdoor, and visitors parking availableWhat's included in your rentHeat, WaterHave Questions? Contact the Property Manager: (416) 245-2111","$2,385",2023-01-28 00:07:33,"10 Blackfriar Ave., 186 Kingsview Blvd., 15 & 55 Bridesburg Dr., Etobicoke, ON, M9R 3S4",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/2-bdrm-10-blackfriar-ave-186-kingsview-blvd-15-55-brides/1631153619
2,Beautiful One Bedroom ,"DescriptionSpacious and newly-renovated lovely one-bedroom apartment with large balcony and new high-end appliances on 2nd floor of private, quiet building. On-site laundry room equipped with Maytag washers and dryers. Conveniently located, TTC bus stop is steps away, Warden Station metro is one block away. Though the apartment is peaceful and serene, the real plus are the quiet, respectful neighbors. All utilities except for cable/internet and parking are included.","$2,380FEATURED",2023-02-21 17:59:05,"M1L 1W3, Canada",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/beautiful-one-bedroom/1651159435
3,2 Bedroom Apartments for Rent on Jackes Avenue,"DescriptionJoin Us for Our In-person Open House Every Wednesday and Friday from 4pm to 6pmBy appointment only. Call Now to Reserve Your Spot! The Summerhilll at 7 Jackes Avenue is an amazing modern residence located in the heart of the city, just south of Yonge Street and St Clair Avenue West.The property features 1, 2 and 3 bedroom floorplans and suites ranging from 500-2000 square feet! The building itself, houses many luxurious amenities for residents to enjoy, including a fitness centre, BBQ and picnic area, indoor pool, tennis court, sauna and more.The Summerhill is located in the Deer Park neighbourhood and is one of the most accessible areas of the city. Its central Toronto location on Yonge Street, makes for an easy commute for people of all walks of life. Both Summerhill and St. Clair Station are both easily accessible options. Whether you are going into the city for work or school, this residence is both comfortable and convenient.Not to mention, an array of dining and shopping options available at Yonge and St. Clair. Nothing you desire is more than a few minutes way. 7 Jackes Avenue is certainly a must see property.Rental ProcessWe also encourage you to schedule a personal showing with our leasing specialist who would be happy to safely tour you through amenities and available suites.Online Payments and CommunicationsProperty Vista resident portal is available to ensure the ease of rental payments, maintenance requests, and communication with property management all accessible online from your personal device.Feature AmenitiesIndoor PoolTennis CourtFitness RoomPatio SpaceMost units have in-suite laundryGuest Suites","$3,098",2023-02-21 14:12:46,"7 Jackes Avenue, Toronto, ON, M4T 1E3",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-apartments-for-rent-on-jackes-avenue/1646071531
4,1 MONTH FREE! Large 1-Bedroom Toronto Apartment Near Subway,"DescriptionAt Last, This Is What You've Been Searching For!Rosebury Square offers large spacious apartments in the heart of city. Only a ten minute walk away from Eglinton West subway, Glencairn subway &amp; the LRT. Six Minute drive to Yorkdale Mall! Enjoy living steps away from the onsite grocery store (Sobeys), pharmacy and daycare.Pet AmenitiesPet FriendlyLarge dogs allowedMultiple pets allowedTransportation and Parking AmenitiesUnderground garagesOutdoor parkingAssigned parking spacesBike storage lockersBus stop/Public transportation accessLaundry AmenitiesShared laundry roomNew washers and dryersRenovated Laundry24/7 camera survalianceKitchen AmenitiesRenovatedStainless appliancesHigh-end countertops and finishesOpen conceptTech AmenitiesHigh-Speed Internet easy access with Bell and RogersOnline Options for making maintenance requestsPre-authorized Payment for rentRecreation AmenitiesPlaygroundOutdoor garden and park areaJogging/walking/bike pathlocal swim houseFamily AmenitiesPlaygroundClose to schools (Forest Hill CI, Glen Park PS, Bialik Hebrew Day School, West Preparatory Jr. PS, Fairbank PS, York Memorial PS, Northern CI, and Lycée Français De Toronto).Daycare services on-siteMiscellaneous AmenitiesSecurity camerasSecurity guardRecyclingwww roseburysquare comINSTAGRAM@RoseburysquareCODE: 377-1015","$2,299",2023-02-09 13:24:01,"377 Ridelle Avenue, Toronto, ON, M6B 1K2",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-month-free-large-1-bedroom-toronto-apartment-near-subway/1649856290
5,Upscale 2 Bedroom Suite Don Mills & Sheppard Ave E,"DescriptionOur renovated apartments at 25 Leith Hill are conveniently located at Leith Hill Rd, near Don Mills Rd in Toronto's North York region.Please contact Lola at (416) 494-0521 to schedule a viewing.Please check our our Vitural Tour!The building has close, walkable access to shopping, restaurants, schools and is just a short distance away from the Don Valley Parklands. It is only a short walk across Don Mills Rd to CF Fairview Mall which includes a Cineplex Cinema. Close by is the TTC is at the door and the Don Mills Station only a few minutes' walk. Highway 401 and the Don Valley Parkway are both easily accessible. There are many very good schools to choose from in this neighbourhood. If you enjoy being able to walk to everything you could possibly need, this is the building for you.These large suites have hardwood flooring throughout and ceramic tiles in the kitchen and bathroom. Laundry facilities are onsite, and parking is available at $100. Heat and hot water are included in the rent. This is a well-maintained building with beautifully landscaped lawns.","$2,747",2023-02-21 16:01:47,"25 Leith Hill Road., Toronto, ON, M2J 1Z1",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/upscale-2-bedroom-suite-don-mills-sheppard-ave-e/1631277280
6,2 Bedroom - Legal Basement Apt (April 1) **NEW**,"DescriptionBeautiful Newly Renovated 2 Bedroom Legal Bright and Spacious Basement Apartment with separate walkout front entrance.Available for rent - starting April 1.Super Clean - Landlord lives on the top floor and is looking for ONLY TWO NON-SMOKERS with NO Pets.- 2 bedrooms with large closets
- Pot Lights Throughout
- Modern Kitchen with Quartz Counter, Dishwasher &amp; Microwave
- Newly Painted
- New Floors
- Own Laundry
- Double vanity in Bathroom (2 Sinks)
- Storage closet.$250 per month for all Utilities TV, Internet AND monthly Bathroom cleaning.- No Parking available.
- Street Parking available until 1am.- Steps To TTC : Bus stop is 5 min walk away and 10 min bus to Fairview Subway.- Located near finch/Victoria park.
- Close to 401, 404, Fairview Mall, Grocery stores, Restaurants and Banks.- Actual Pictures and viewing available starting March 4 and 5.- Please bring your drivers license or passport, credit report, paystub, employment letter and previous rent reference.
- First and Last month plus $350 refundable deposit.","$2,000",2023-02-21 15:59:00,"Fairglen Avenue, Scarborough, ON",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-legal-basement-apt-april-1-new/1651145779
7,Bright  One Bedroom Penthouse w Private Rooftop Terrace,"DescriptionRenovated penthouse; top appliances; central air; in suite washer/dryer, underground parking, locker; vista view Mt Pleasant Cemetery; residential neighbourhood just north Yonge-St Clair; shopping/subway short walk; large privately accessed private roof terrace - sun exposure all day.Pls respond to these questions:
Do you own a car?
What kind of employment? How long at this job?
Do you keep pets? What type?
What is your age?
Do you work from home? If not, where is your work?","$3,500",2023-02-21 15:58:49,"Toronto, ON M4V 1Z6",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bright-one-bedroom-penthouse-w-private-rooftop-terrace/1651094368
8,Brand New Downtown 1 bedroom Condo w Lakeview * One Month Free*,"Description* Move in by March 1 and get one month free. * Rent before discount is $2498/month + Utilities. Equivalent to $2290/month on a 12 month lease after the one month free discount. Available starting Feb 23.
** Rent includes unlimited Bell fiber optic internet and a locker as added Bonus! **Luxurious 487 Sqft One Bedroom suite + a 115 Sqft Balcony at Sugar Wharf for rent in downtown Toronto at the waterfront on the 20th+ floor with lakeview from a large balcony. This brand new open concept condo has floor-to-ceiling windows, sleek modern kitchen with quartz counter top, and 7 high end appliances including in-unit washer and dryer.LOCATION: Unbeatable Waterfront at Downtown Toronto! Just Steps From Union Station, The Lakefront. Major Transportation Arteries Such As The Gardiner Expressway And Don Valley Parkway. Easy Access To Some Of The City's Top Attractions Like Scotiabank Arena, St Lawrence Market, And The Distillery District, You'll Be Perfectly Situated To Take In All That Toronto Has To Offer. You'll Also Have Farm Boy, Loblaws And LCBO Right At Your Doorstep!Minimum 12 month lease. Rental application with credit check, proof of employment and landlord references required.AMENITIES: 24-hour on site concierge, in-door lap pool, state-of the-art theatre, party room, fitness center, lounge, meeting rooms, guest suites, common terrace with BBQ area, LCBO and much more.VIRTUAL EXPERIENCE
https://www.youtube.com/watch?v=WFq9dDj0AGYhttps://www.menkes.com/sugar-wharf/virtual-reality/index.html","$2,290",2023-02-21 15:54:45,"138 Downes Street, Toronto, ON",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/brand-new-downtown-1-bedroom-condo-w-lakeview-one-month-free/1651145331
9,"3 Bdrm Townhouse - 1560 Bloor Street, 3455 Havenwood Drive","DescriptionVisit our Website: https://www.capreit.ca/fr/appartements-a-louer/mississauga-on/bloor-and-havenwood-townhomes/Our townhome communities located at 1560 Bloor and 3455 Havenwood are the perfect setting for you and your family. Both locations, offer three and four bedrooms townhomes for rent in Mississauga.On site professional and friendly staffCourtyardOutdoor parking availableIndoor parking available at Bloor locationPet friendlyWhat's included in your rentWaterHave Questions? Contact the Property Manager: (905) 624-2164","$2,965",2023-02-21 15:53:47,"1560 Bloor Street, 3455 Havenwood Drive, Mississauga, ON, L4X 1R8",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/3-bdrm-townhouse-1560-bloor-street-3455-havenwood-drive/1647477013
